row_id,player_name,college,country,draft_number,draft_round,draft_year
6467,Devin Ebanks,West Virginia,USA,43,2,2010
37,Devin Gray,Clemson,USA,Undrafted,Undrafted,1995
4384,Devin Green,Hampton,USA,Undrafted,Undrafted,Undrafted
3934,Devin Harris,Wisconsin,USA,5,1,2004
9707,Devin Robinson,Florida,USA,Undrafted,Undrafted,Undrafted
10849,Devon Hall,Virginia,USA,53,2,2018
10315,Devonte' Graham,Kansas,USA,34,2,2018
8114,Devyn Marble,Iowa,USA,56,2,2014
10757,Dewan Hernandez,Miami,USA,59,2,2019
7813,Dewayne Dedmon,Southern California,USA,Undrafted,Undrafted,Undrafted
38,Dexter Boney,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted
6451,Dexter Pittman,Texas,USA,32,2,2010
9494,Deyonta Davis,Michigan State,USA,31,2,2016
9477,Diamond Stone,Maryland,USA,40,2,2016
7539,Diante Garrett,Iowa State,USA,Undrafted,Undrafted,Undrafted
40,Dickey Simpkins,Providence,USA,21,1,1994
4382,Dijon Thompson,UCLA,USA,54,2,2005
52,Dikembe Mutombo,Georgetown,Congo,4,1,1991
9710,Dillon Brooks,Oregon,Canada,45,2,2017
41,Dino Radja,None,USA,40,2,1989
1369,Dion Glover,Georgia Tech,USA,20,1,1999
7540,Dion Waiters,Syracuse,USA,4,1,2012
7870,Dionte Christmas,Temple,USA,Undrafted,Undrafted,Undrafted
1236,Dirk Nowitzki,None,Germany,9,1,1998
9480,Domantas Sabonis,Gonzaga,Lithuania,11,1,2016
4938,Dominic McGuire,Fresno State,USA,47,2,2007
6435,Dominique Jones,South Florida,USA,25,1,2010
42,Dominique Wilkins,Georgia,USA,3,1,1982
43,Don MacLean,UCLA,USA,19,1,1992
44,Don Reid,Georgetown,USA,58,2,1995
45,Donald Royal,Notre Dame,USA,52,3,1987
6700,Donald Sloan,Texas A&M,USA,Undrafted,Undrafted,Undrafted
46,Donald Whiteside,Northern Illinois,USA,Undrafted,Undrafted,Undrafted
7545,Donatas Motiejunas,None,Lithuania,20,1,2011
4379,Donell Taylor,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted
1808,Donnell Harvey,Florida,USA,22,1,2000
47,Donnie Boyce,Colorado,USA,42,2,1995
48,Donny Marshall,Connecticut,USA,39,2,1995
9582,Donovan Mitchell,Louisville,USA,13,1,2017
10663,Donta Hall,None,USA,Undrafted,Undrafted,Undrafted
3929,Donta Smith,Southeastern Illinois,USA,34,2,2004
697,Dontae' Jones,Mississippi State,USA,21,1,1996
10324,Donte DiVincenzo,Villanova,USA,17,1,2018
10230,Donte Grantham,Clemson,USA,Undrafted,Undrafted,Undrafted
5362,Donte Greene,Syracuse,USA,28,1,2008
5361,Dontell Jefferson,Arkansas,USA,Undrafted,Undrafted,Undrafted
49,Dontonio Wingfield,Cincinnati,USA,37,2,1994
50,Donyell Marshall,Connecticut,USA,4,1,1994
3927,Dorell Wright,None,USA,19,1,2004
9482,Dorian Finney-Smith,Florida,USA,Undrafted,Undrafted,Undrafted
7547,Doron Lamb,Kentucky,USA,42,2,2012
51,Doug Christie,Pepperdine,USA,17,1,1992
8139,Doug McDermott,Creighton,USA,11,1,2014
