StatsID,AvgPoints,AvgRebounds,AvgAssists,Net_Rating,Games_Played,OffRebounds,DefRebounds,TeamPlays,ShootingEff,AssistPct,Season_ID
401113,3.4,3.9,0.3,-0.6,37,0.09,0.259,0.18100000000000002,0.39399999999999996,0.043,301113
401114,8.7,5.7,1.2,4.8,39,0.07200000000000001,0.20199999999999999,0.188,0.524,0.08199999999999999,301114
401115,5.4,1.9,0.9,4.9,36,0.039,0.08900000000000001,0.16699999999999998,0.47700000000000004,0.091,301115
401116,6.0,3.9,0.6,7.0,47,0.174,0.16699999999999998,0.24,0.535,0.091,301116
401117,8.1,3.0,1.2,-2.9,31,0.032,0.11199999999999999,0.17600000000000002,0.48700000000000004,0.084,301117
401118,7.2,5.5,0.3,0.6,46,0.136,0.19,0.18100000000000002,0.537,0.025,301118
401119,2.3,1.7,0.0,-33.1,3,0.083,0.2,0.192,0.451,0.0,301119
401120,9.7,2.9,1.9,10.1,47,0.034,0.08199999999999999,0.161,0.593,0.11199999999999999,301120
401121,0.0,0.0,0.0,-64.2,1,0.0,0.0,0.4,0.0,0.0,301121
401122,2.2,0.3,2.6,-10.1,9,0.0,0.027000000000000003,0.115,0.47200000000000003,0.28,301122
401123,5.1,2.0,3.7,-2.1,36,0.025,0.091,0.138,0.539,0.33799999999999997,301123
401124,1.6,1.4,0.1,15.9,26,0.175,0.165,0.22699999999999998,0.41,0.031,301124
401125,1.3,1.0,1.3,-11.6,6,0.02,0.125,0.138,0.41,0.25,301125
401126,14.9,5.6,1.1,6.6,49,0.07200000000000001,0.179,0.28800000000000003,0.527,0.077,301126
401127,4.9,4.0,1.5,9.0,38,0.091,0.14800000000000002,0.13,0.565,0.11199999999999999,301127
401128,8.9,1.4,3.2,-8.5,25,0.021,0.062,0.252,0.522,0.33299999999999996,301128
401129,5.3,3.7,0.8,6.9,49,0.129,0.158,0.16699999999999998,0.5479999999999999,0.07200000000000001,301129
401130,15.7,4.8,9.9,-1.5,44,0.039,0.11199999999999999,0.23600000000000002,0.488,0.43799999999999994,301130
401131,7.4,3.8,1.6,-11.5,47,0.073,0.14800000000000002,0.192,0.51,0.14800000000000002,301131
401132,3.3,1.3,0.8,-28.3,13,0.06,0.06,0.235,0.341,0.16399999999999998,301132
401133,11.2,5.1,3.3,-4.8,35,0.05,0.149,0.214,0.451,0.19699999999999998,301133
401134,17.0,3.8,2.5,-5.9,41,0.026000000000000002,0.091,0.24600000000000002,0.46299999999999997,0.12,301134
401135,1.7,2.3,0.2,-26.5,9,0.055,0.242,0.18899999999999997,0.26899999999999996,0.049,301135
401136,4.8,1.5,0.4,-5.9,34,0.042,0.131,0.276,0.44299999999999995,0.09,301136
401137,2.7,1.3,0.1,-4.0,24,0.13,0.107,0.22899999999999998,0.503,0.024,301137
401138,4.7,1.3,1.5,-10.1,43,0.013999999999999999,0.081,0.168,0.452,0.157,301138
401139,4.5,1.8,1.3,0.2,46,0.09,0.091,0.233,0.462,0.18600000000000003,301139
401140,2.6,1.9,0.3,-19.4,18,0.11699999999999999,0.094,0.14,0.513,0.045,301140
401141,4.0,1.5,0.0,26.0,2,0.0,0.214,0.24,0.68,0.0,301141
401142,10.7,2.2,1.3,-2.8,44,0.015,0.086,0.19,0.5760000000000001,0.094,301142
401143,11.2,3.6,2.0,-0.5,50,0.042,0.115,0.20800000000000002,0.47200000000000003,0.124,301143
401144,5.0,2.9,0.5,2.3,48,0.054000000000000006,0.16699999999999998,0.154,0.526,0.057,301144
401145,5.9,3.7,0.2,-12.4,39,0.08800000000000001,0.188,0.221,0.491,0.021,301145
401146,5.1,5.1,0.3,11.0,16,0.152,0.183,0.12300000000000001,0.5760000000000001,0.024,301146
401147,6.6,3.7,1.4,-1.4,32,0.048,0.145,0.155,0.46799999999999997,0.111,301147
401148,2.0,2.0,0.1,-16.1,7,0.065,0.21600000000000003,0.243,0.349,0.048,301148
401149,14.5,6.5,5.9,1.6,50,0.04,0.141,0.19899999999999998,0.53,0.248,301149
401150,11.2,4.3,2.3,6.2,50,0.027000000000000003,0.124,0.198,0.493,0.132,301150
401151,1.4,0.1,0.0,-42.6,8,0.0,0.055999999999999994,0.204,0.619,0.0,301151
401152,2.7,2.0,0.3,-7.6,36,0.111,0.156,0.172,0.489,0.051,301152
401153,1.5,0.0,0.5,-42.9,2,0.0,0.0,0.294,0.5429999999999999,1.0,301153
401154,15.9,1.9,4.5,9.7,8,0.027999999999999997,0.057,0.29600000000000004,0.552,0.33,301154
401155,0.8,1.4,0.1,-12.2,16,0.061,0.17,0.099,0.302,0.024,301155
401156,9.0,2.0,2.0,4.2,44,0.033,0.078,0.20199999999999999,0.534,0.16,301156
401157,1.0,0.6,1.1,13.5,17,0.034,0.111,0.2,0.294,0.33299999999999996,301157
401158,14.9,5.9,1.9,2.1,47,0.037000000000000005,0.162,0.23,0.493,0.107,301158
401159,16.5,2.3,7.4,-8.4,50,0.009000000000000001,0.065,0.242,0.488,0.375,301159
401160,7.7,8.9,0.9,-3.0,48,0.13699999999999998,0.196,0.139,0.461,0.047,301160
401161,2.5,2.0,0.0,-18.8,4,0.19399999999999998,0.038,0.177,0.455,0.0,301161
401162,9.8,6.0,0.4,3.0,41,0.10400000000000001,0.205,0.218,0.5589999999999999,0.031,301162
401163,11.3,6.8,2.1,-3.8,49,0.07400000000000001,0.18600000000000003,0.175,0.569,0.111,301163
401164,11.4,6.9,1.3,8.3,50,0.092,0.162,0.187,0.527,0.075,301164
401165,5.6,1.9,0.5,3.2,39,0.057999999999999996,0.107,0.185,0.557,0.055,301165
401166,17.3,9.9,1.1,1.8,38,0.068,0.24600000000000002,0.28,0.491,0.068,301166
401167,0.7,0.2,0.0,-28.8,6,0.067,0.0,0.23,0.33299999999999996,0.0,301167
401168,16.5,6.4,2.4,-2.0,48,0.079,0.134,0.23199999999999998,0.54,0.121,301168
401169,8.4,3.0,1.5,1.3,48,0.045,0.10800000000000001,0.195,0.496,0.115,301169
401170,3.6,2.5,0.7,-6.3,46,0.049,0.14800000000000002,0.138,0.462,0.07200000000000001,301170
401171,1.0,1.0,0.0,-65.1,2,0.125,0.125,0.218,0.5,0.0,301171
401172,2.5,1.2,2.7,-14.1,11,0.008,0.114,0.155,0.371,0.395,301172
401173,3.0,2.9,0.8,5.0,18,0.145,0.14,0.134,0.462,0.105,301173
401174,13.8,7.6,0.7,-7.9,12,0.09300000000000001,0.184,0.182,0.5529999999999999,0.038,301174
401175,4.2,2.0,0.3,-9.6,27,0.11599999999999999,0.10099999999999999,0.23800000000000002,0.467,0.055999999999999994,301175
401176,8.8,3.4,3.8,-9.6,39,0.025,0.111,0.182,0.47100000000000003,0.256,301176
401177,12.0,2.0,3.0,16.8,1,0.0,0.095,0.22,0.6759999999999999,0.25,301177
401178,2.4,1.3,0.2,-13.5,20,0.085,0.085,0.22,0.40399999999999997,0.047,301178
401179,12.8,4.9,1.2,10.6,49,0.05,0.145,0.20600000000000002,0.5660000000000001,0.076,301179
401180,4.0,4.0,0.5,2.9,2,0.086,0.25,0.187,0.311,0.045,301180
401181,17.1,4.2,3.6,4.4,50,0.04,0.109,0.24100000000000002,0.564,0.183,301181
401182,1.9,2.2,1.5,3.0,27,0.09,0.14,0.124,0.361,0.19399999999999998,301182
401183,18.4,2.7,2.2,6.0,50,0.017,0.069,0.228,0.59,0.109,301183
401184,3.8,2.3,0.2,-7.2,30,0.14300000000000002,0.155,0.235,0.486,0.037000000000000005,301184
401185,12.1,2.7,2.9,4.3,38,0.011000000000000001,0.091,0.215,0.46,0.149,301185
401186,3.1,1.5,1.8,3.4,33,0.026000000000000002,0.086,0.134,0.47600000000000003,0.191,301186
401187,12.9,4.2,2.5,-8.7,46,0.034,0.10400000000000001,0.203,0.446,0.13,301187
401188,3.3,3.4,0.4,-3.0,28,0.106,0.18100000000000002,0.133,0.483,0.044000000000000004,301188
401189,12.1,3.0,5.7,-6.4,34,0.025,0.092,0.205,0.513,0.316,301189
401190,11.7,4.9,2.4,-5.3,50,0.039,0.132,0.2,0.441,0.135,301190
401191,7.9,2.3,4.4,-3.3,15,0.008,0.08900000000000001,0.171,0.474,0.289,301191
401192,10.5,2.9,1.1,-9.0,49,0.035,0.098,0.188,0.555,0.07400000000000001,301192
401193,2.2,2.8,0.4,2.8,35,0.121,0.201,0.126,0.5770000000000001,0.06,301193
401194,8.6,3.4,6.3,3.7,48,0.017,0.096,0.14,0.499,0.29600000000000004,301194
401195,5.4,2.3,0.8,-6.3,38,0.05,0.083,0.139,0.517,0.069,301195
